Date,債券ETF,債券型ETF,債券ETF是什麼,債券ETF有哪些,債券ETF推薦,債券ETF比較,債券ETF怎麼選,債券ETF怎麼買,美國公債ETF,美債ETF,公債ETF,投資級公司債ETF,非投資級債ETF,新興市場債ETF,新興市場投資級債ETF,新興市場公司債ETF,美元債ETF,企業債ETF,長債ETF,長天期美債ETF,20年美債ETF,美國20年公債ETF,亞洲債券ETF,美國高收益債ETF,海外債券ETF,美元公司債ETF,債券ETF殖利率,債券ETF報酬率,月配債券ETF,高配息債券ETF,高息債券ETF,美債ETF配息,美債ETF殖利率,投資級債ETF配息,投資級債ETF殖利率,債券ETF配息排行,降息債券ETF,降息長債,利率債券ETF,聯準會降息美債,美國降息債券ETF,降息長天期債券ETF,債券ETF風險,債券ETF匯率風險,債券ETF利率風險,債券ETF信用風險,債券ETF會賠錢嗎,債券ETF推薦比較,美債ETF推薦,00679B,00726B,國泰新興投等債,國泰優選非投等債,00734B,00754B,復華能源債,復華製藥債,00760B,復華新興企業債
2021-12-19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
2021-12-26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
2022-01-02,7,0,0,0,0,0,0,0,34,7,46,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,10,0,0,0,,0,0,0,0,0
2022-01-09,15,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,24,0,0,0,,0,0,0,0,0
2022-01-16,14,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,10,0,0,0,,0,0,0,0,0
2022-01-23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,4,0,0,0,,0,0,0,0,0
2022-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,25,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,6,0,0,0,,0,0,0,0,0
2022-02-06,21,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,14,0,0,0,,0,0,0,0,0
2022-02-13,25,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,17,0,0,0,,0,0,0,0,0
2022-02-20,19,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,13,0,0,0,,0,0,0,0,0
2022-02-27,7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,7,0,0,0,,0,0,0,0,0
2022-03-06,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,7,0,0,0,,0,0,0,0,0
2022-03-13,14,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,13,0,0,0,,0,0,0,0,0
2022-03-20,15,0,0,0,0,0,0,0,28,5,23,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,11,0,0,0,,0,0,0,0,0
2022-03-27,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0,0,0,100,0,,0,,0,,0,9,0,0,0,,0,0,0,0,0
2022-04-03,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,7,0,0,0,,0,0,0,0,0
2022-04-10,13,0,0,0,0,0,0,0,21,7,19,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,11,0,0,0,,0,0,0,0,0
2022-04-17,18,0,0,0,0,0,0,0,26,7,24,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,11,0,0,0,,0,0,0,0,0
2022-04-24,10,0,0,0,0,0,0,0,21,4,21,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,8,0,0,0,,0,0,0,0,0
2022-05-01,16,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,11,0,0,57,,0,0,0,0,0
2022-05-08,12,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,7,0,0,0,,0,0,0,0,0
2022-05-15,9,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,7,0,0,0,,0,0,0,0,0
2022-05-22,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,7,0,0,0,,0,0,0,0,0
